,pclass,sex,age,sibsp,parch,fare,cabin,embarked,title
698,1,male,49.0,1,1,110.8833,C68,C,Mr
481,2,male,,0,0,0.0,,S,Mr
71,3,female,16.0,5,2,46.9,,S,Miss
49,3,female,18.0,1,0,17.8,,S,Mrs
573,3,female,,0,0,7.75,,Q,Miss
338,3,male,45.0,0,0,8.05,,S,Mr
261,3,male,3.0,4,2,31.3875,,S,Master
116,3,male,70.5,0,0,7.75,,Q,Mr
76,3,male,,0,0,7.8958,,S,Mr
48,3,male,,2,0,21.6792,,C,Mr
843,3,male,34.5,0,0,6.4375,,C,Mr
263,1,male,40.0,0,0,0.0,B94,S,Mr
718,3,male,,0,0,15.5,,Q,Mr
620,3,male,27.0,1,0,14.4542,,C,Mr
786,3,female,18.0,0,0,7.4958,,S,Miss
64,1,male,,0,0,27.7208,,C,Mr
857,1,male,51.0,0,0,26.55,E17,S,Mr
52,1,female,49.0,1,0,76.7292,D33,C,Mrs
386,3,male,1.0,5,2,46.9,,S,Master
124,1,male,54.0,0,1,77.2875,D26,S,Mr
578,3,female,,1,0,14.4583,,C,Mrs
549,2,male,8.0,1,1,36.75,,S,Master
118,1,male,24.0,0,1,247.5208,B58,C,Mr
12,3,male,20.0,0,0,8.05,,S,Mr
157,3,male,30.0,0,0,8.05,,S,Mr
127,3,male,24.0,0,0,7.1417,,S,Mr
653,3,female,,0,0,7.8292,,Q,Miss
235,3,female,,0,0,7.55,,S,Miss
785,3,male,25.0,0,0,7.25,,S,Mr
241,3,female,,1,0,15.5,,Q,Miss
351,1,male,,0,0,35.0,C128,S,Mr
862,1,female,48.0,0,0,25.9292,D17,S,Mrs
851,3,male,74.0,0,0,7.775,,S,Mr
753,3,male,23.0,0,0,7.8958,,S,Mr
532,3,male,17.0,1,1,7.2292,,C,Mr
485,3,female,,3,1,25.4667,,S,Miss
695,2,male,52.0,0,0,13.5,,S,Mr
475,1,male,,0,0,52.0,A14,S,Mr
17,2,male,,0,0,13.0,,S,Mr
476,2,male,34.0,1,0,21.0,,S,Mr
533,3,female,,0,2,22.3583,,C,Mrs
416,2,female,34.0,1,1,32.5,,S,Mrs
345,2,female,24.0,0,0,13.0,F33,S,Miss
242,2,male,29.0,0,0,10.5,,S,Mr
344,2,male,36.0,0,0,13.0,,S,Mr
170,1,male,61.0,0,0,33.5,B19,S,Mr
187,1,male,45.0,0,0,26.55,,S,Mr
800,2,male,34.0,0,0,13.0,,S,Mr
457,1,female,,1,0,51.8625,D21,S,Mrs
652,3,male,21.0,0,0,8.4333,,S,Mr
451,3,male,,1,0,19.9667,,S,Mr
78,2,male,0.83,0,2,29.0,,S,Master
889,1,male,26.0,0,0,30.0,C148,C,Mr
198,3,female,,0,0,7.75,,Q,Miss
492,1,male,55.0,0,0,30.5,C30,S,Mr
813,3,female,6.0,4,2,31.275,,S,Miss
526,2,female,50.0,0,0,10.5,,S,Miss
870,3,male,26.0,0,0,7.8958,,S,Mr
21,2,male,34.0,0,0,13.0,D56,S,Mr
885,3,female,39.0,0,5,29.125,,Q,Mrs
799,3,female,30.0,1,1,24.15,,S,Mrs
250,3,male,,0,0,7.25,,S,Mr
243,3,male,22.0,0,0,7.125,,S,Mr
701,1,male,35.0,0,0,26.2875,E24,S,Mr
35,1,male,42.0,1,0,52.0,,S,Mr
81,3,male,29.0,0,0,9.5,,S,Mr
159,3,male,,8,2,69.55,,S,Master
744,3,male,31.0,0,0,7.925,,S,Mr
524,3,male,,0,0,7.2292,,C,Mr
109,3,female,,1,0,24.15,,Q,Miss
337,1,female,41.0,0,0,134.5,E40,C,Miss
443,2,female,28.0,0,0,13.0,,S,Other
92,1,male,46.0,1,0,61.175,E31,S,Mr
364,3,male,,1,0,15.5,,Q,Mr
434,1,male,50.0,1,0,55.9,E44,S,Mr
465,3,male,38.0,0,0,7.05,,S,Mr
731,3,male,11.0,0,0,18.7875,,C,Mr
876,3,male,20.0,0,0,9.8458,,S,Mr
211,2,female,35.0,0,0,21.0,,S,Miss
811,3,male,39.0,0,0,24.15,,S,Mr
165,3,male,9.0,0,2,20.525,,S,Master
238,2,male,19.0,0,0,10.5,,S,Mr
188,3,male,40.0,1,1,15.5,,Q,Mr
471,3,male,38.0,0,0,8.6625,,S,Mr
553,3,male,22.0,0,0,7.225,,C,Mr
456,1,male,65.0,0,0,26.55,E38,S,Mr
366,1,female,60.0,1,0,75.25,D37,C,Mrs
592,3,male,47.0,0,0,7.25,,S,Mr
738,3,male,,0,0,7.8958,,S,Mr
155,1,male,51.0,0,1,61.3792,,C,Mr
391,3,male,21.0,0,0,7.7958,,S,Mr
886,2,male,27.0,0,0,13.0,,S,Other
724,1,male,27.0,1,0,53.1,E8,S,Mr
453,1,male,49.0,1,0,89.1042,C92,C,Mr
66,2,female,29.0,0,0,10.5,F33,S,Mrs
841,2,male,16.0,0,0,10.5,,S,Mr
408,3,male,21.0,0,0,7.775,,S,Mr
462,1,male,47.0,0,0,38.5,E63,S,Mr
268,1,female,58.0,0,1,153.4625,C125,S,Mrs
161,2,female,40.0,0,0,15.75,,S,Mrs
363,3,male,35.0,0,0,7.05,,S,Mr
406,3,male,51.0,0,0,7.75,,S,Mr
866,2,female,27.0,1,0,13.8583,,C,Miss
881,3,male,33.0,0,0,7.8958,,S,Mr
618,2,female,4.0,2,1,39.0,F4,S,Miss
100,3,female,28.0,0,0,7.8958,,S,Miss
722,2,male,34.0,0,0,13.0,,S,Mr
678,3,female,43.0,1,6,46.9,,S,Mrs
229,3,female,,3,1,25.4667,,S,Miss
334,1,female,,1,0,133.65,,S,Mrs
558,1,female,39.0,1,1,79.65,E67,S,Mrs
669,1,female,,1,0,52.0,C126,S,Mrs
807,3,female,18.0,0,0,7.775,,S,Miss
520,1,female,30.0,0,0,93.5,B73,S,Miss
816,3,female,23.0,0,0,7.925,,S,Miss
220,3,male,16.0,0,0,8.05,,S,Mr
810,3,male,26.0,0,0,7.8875,,S,Mr
309,1,female,30.0,0,0,56.9292,E36,C,Miss
688,3,male,18.0,0,0,7.7958,,S,Mr
787,3,male,8.0,4,1,29.125,,Q,Master
15,2,female,55.0,0,0,16.0,,S,Mrs
245,1,male,44.0,2,0,90.0,C78,Q,Other
409,3,female,,3,1,25.4667,,S,Miss
6,1,male,54.0,0,0,51.8625,E46,S,Mr
452,1,male,30.0,0,0,27.75,C111,C,Mr
441,3,male,20.0,0,0,9.5,,S,Mr
479,3,female,2.0,0,1,12.2875,,S,Miss
104,3,male,37.0,2,0,7.925,,S,Mr
303,2,female,,0,0,12.35,E101,Q,Miss
650,3,male,,0,0,7.8958,,S,Mr
208,3,female,16.0,0,0,7.75,,Q,Miss
302,3,male,19.0,0,0,0.0,,S,Mr
51,3,male,21.0,0,0,7.8,,S,Mr
90,3,male,29.0,0,0,8.05,,S,Mr
354,3,male,,0,0,7.225,,C,Mr
563,3,male,,0,0,8.05,,S,Mr
22,3,female,15.0,0,0,8.0292,,Q,Miss
374,3,female,3.0,3,1,21.075,,S,Miss
825,3,male,,0,0,6.95,,Q,Mr
218,1,female,32.0,0,0,76.2917,D15,C,Miss
657,3,female,32.0,1,1,15.5,,Q,Mrs
422,3,male,29.0,0,0,7.875,,S,Mr
420,3,male,,0,0,7.8958,,C,Mr
460,1,male,48.0,0,0,26.55,E12,S,Mr
205,3,female,2.0,0,1,10.4625,G6,S,Miss
529,2,male,23.0,2,1,11.5,,S,Mr
190,2,female,32.0,0,0,13.0,,S,Mrs
361,2,male,29.0,1,0,27.7208,,C,Mr
735,3,male,28.5,0,0,16.1,,S,Mr
375,1,female,,1,0,82.1708,,C,Mrs
185,1,male,,0,0,50.0,A32,S,Mr
194,1,female,44.0,0,0,27.7208,B4,C,Mrs
401,3,male,26.0,0,0,8.05,,S,Mr
436,3,female,21.0,2,2,34.375,,S,Miss
583,1,male,36.0,0,0,40.125,A10,C,Mr
132,3,female,47.0,1,0,14.5,,S,Mrs
233,3,female,5.0,4,2,31.3875,,S,Miss
173,3,male,21.0,0,0,7.925,,S,Mr
178,2,male,30.0,0,0,13.0,,S,Mr
313,3,male,28.0,0,0,7.8958,,S,Mr
315,3,female,26.0,0,0,7.8542,,S,Miss
713,3,male,29.0,0,0,9.4833,,S,Mr
859,3,male,,0,0,7.2292,,C,Mr
864,2,male,24.0,0,0,13.0,,S,Mr
206,3,male,32.0,1,0,15.85,,S,Mr
557,1,male,,0,0,227.525,,C,Mr
493,1,male,71.0,0,0,49.5042,,C,Mr
96,1,male,71.0,0,0,34.6542,A5,C,Mr
527,1,male,,0,0,221.7792,C95,S,Mr
761,3,male,41.0,0,0,7.125,,S,Mr
572,1,male,36.0,0,0,26.3875,E25,S,Mr
74,3,male,32.0,0,0,56.4958,,S,Mr
89,3,male,24.0,0,0,8.05,,S,Mr
38,3,female,18.0,2,0,18.0,,S,Miss
179,3,male,36.0,0,0,0.0,,S,Mr
506,2,female,33.0,0,2,26.0,,S,Mrs
0,3,male,22.0,1,0,7.25,,S,Mr
46,3,male,,1,0,15.5,,Q,Mr
171,3,male,4.0,4,1,29.125,,Q,Master
392,3,male,28.0,2,0,7.925,,S,Mr
710,1,female,24.0,0,0,49.5042,C90,C,Mrs
518,2,female,36.0,1,0,26.0,,S,Mrs
782,1,male,29.0,0,0,30.0,D6,S,Mr
107,3,male,,0,0,7.775,,S,Mr
626,2,male,57.0,0,0,12.35,,Q,Other
133,2,female,29.0,1,0,26.0,,S,Mrs
806,1,male,39.0,0,0,0.0,A36,S,Mr
223,3,male,,0,0,7.8958,,S,Mr
603,3,male,44.0,0,0,8.05,,S,Mr
327,2,female,36.0,0,0,13.0,D,S,Mrs
827,2,male,1.0,0,2,37.0042,,C,Master
102,1,male,21.0,0,1,77.2875,D26,S,Mr
625,1,male,61.0,0,0,32.3208,D50,S,Mr
108,3,male,38.0,0,0,7.8958,,S,Mr
213,2,male,30.0,0,0,13.0,,S,Mr
586,2,male,47.0,0,0,15.0,,S,Mr
499,3,male,24.0,0,0,7.7958,,S,Mr
821,3,male,27.0,0,0,8.6625,,S,Mr
246,3,female,25.0,0,0,7.775,,S,Miss
861,2,male,21.0,1,0,11.5,,S,Mr
546,2,female,19.0,1,0,26.0,,S,Mrs
125,3,male,12.0,1,0,11.2417,,C,Master
135,2,male,23.0,0,0,15.0458,,C,Mr
466,2,male,,0,0,0.0,,S,Mr
640,3,male,20.0,0,0,7.8542,,S,Mr
691,3,female,4.0,0,1,13.4167,,C,Miss
661,3,male,40.0,0,0,7.225,,C,Mr
435,1,female,14.0,1,2,120.0,B96,S,Miss
365,3,male,30.0,0,0,7.25,,S,Mr
721,3,male,17.0,1,0,7.0542,,S,Mr
224,1,male,38.0,1,0,90.0,C93,S,Mr
26,3,male,,0,0,7.225,,C,Mr
772,2,female,57.0,0,0,10.5,E77,S,Mrs
571,1,female,53.0,2,0,51.4792,C101,S,Mrs
417,2,female,18.0,0,2,13.0,,S,Miss
497,3,male,,0,0,15.1,,S,Mr
628,3,male,26.0,0,0,7.8958,,S,Mr
765,1,female,51.0,1,0,77.9583,D11,S,Mrs
670,2,female,40.0,1,1,39.0,,S,Mrs
3,1,female,35.0,1,0,53.1,C123,S,Mrs
134,2,male,25.0,0,0,13.0,,S,Mr
325,1,female,36.0,0,0,135.6333,C32,C,Miss
355,3,male,28.0,0,0,9.5,,S,Mr
812,2,male,35.0,0,0,10.5,,S,Mr
186,3,female,,1,0,15.5,,Q,Mrs
682,3,male,20.0,0,0,9.225,,S,Mr
295,1,male,,0,0,27.7208,,C,Mr
743,3,male,24.0,1,0,16.1,,S,Mr
548,3,male,33.0,1,1,20.525,,S,Mr
385,2,male,18.0,0,0,73.5,,S,Mr
576,2,female,34.0,0,0,13.0,,S,Miss
702,3,female,18.0,0,1,14.4542,,C,Miss
873,3,male,47.0,0,0,9.0,,S,Mr
798,3,male,30.0,0,0,7.2292,,C,Mr
427,2,female,19.0,0,0,26.0,,S,Mrs
225,3,male,22.0,0,0,9.35,,S,Mr
729,3,female,25.0,1,0,7.925,,S,Miss
330,3,female,,2,0,23.25,,Q,Miss
369,1,female,24.0,0,0,69.3,B35,C,Other
605,3,male,36.0,1,0,15.55,,S,Mr
332,1,male,38.0,0,1,153.4625,C91,S,Mr
339,1,male,45.0,0,0,35.5,T,S,Mr
419,3,female,10.0,0,2,24.15,,S,Miss
687,3,male,19.0,0,0,10.1708,,S,Mr
860,3,male,41.0,2,0,14.1083,,S,Mr
737,1,male,35.0,0,0,512.3292,B101,C,Mr
844,3,male,17.0,0,0,8.6625,,S,Mr
454,3,male,,0,0,8.05,,S,Mr
404,3,female,20.0,0,0,8.6625,,S,Miss
415,3,female,,0,0,8.05,,S,Mrs
63,3,male,4.0,3,2,27.9,,S,Master
604,1,male,35.0,0,0,26.55,,C,Mr
888,3,female,,1,2,23.45,,S,Miss
478,3,male,22.0,0,0,7.5208,,S,Mr
360,3,male,40.0,1,4,27.9,,S,Mr
237,2,female,8.0,0,2,26.25,,S,Miss
703,3,male,25.0,0,0,7.7417,,Q,Mr
855,3,female,18.0,0,1,9.35,,S,Mrs
112,3,male,22.0,0,0,8.05,,S,Mr
884,3,male,25.0,0,0,7.05,,S,Mr
569,3,male,32.0,0,0,7.8542,,S,Mr
126,3,male,,0,0,7.75,,Q,Mr
259,2,female,50.0,0,1,26.0,,S,Mrs
662,1,male,47.0,0,0,25.5875,E58,S,Mr
630,1,male,80.0,0,0,30.0,A23,S,Mr
137,1,male,37.0,1,0,53.1,C123,S,Mr
7,3,male,2.0,3,1,21.075,,S,Master
502,3,female,,0,0,7.6292,,Q,Miss
759,1,female,33.0,0,0,86.5,B77,S,Other
622,3,male,20.0,1,1,15.7417,,C,Mr
853,1,female,16.0,0,1,39.4,D28,S,Miss
407,2,male,3.0,1,1,18.75,,S,Master
613,3,male,,0,0,7.75,,Q,Mr
353,3,male,25.0,1,0,17.8,,S,Mr
153,3,male,40.5,0,2,14.5,,S,Mr
343,2,male,25.0,0,0,13.0,,S,Mr
789,1,male,46.0,0,0,79.2,B82,C,Mr
790,3,male,,0,0,7.75,,Q,Mr
733,2,male,23.0,0,0,13.0,,S,Mr
56,2,female,21.0,0,0,10.5,,S,Miss
400,3,male,39.0,0,0,7.925,,S,Mr
473,2,female,23.0,0,0,13.7917,D,C,Mrs
468,3,male,,0,0,7.725,,Q,Mr
795,2,male,39.0,0,0,13.0,,S,Mr
593,3,female,,0,2,7.75,,Q,Miss
504,1,female,16.0,0,0,86.5,B79,S,Miss
568,3,male,,0,0,7.2292,,C,Mr
577,1,female,39.0,1,0,55.9,E44,S,Mrs
300,3,female,,0,0,7.75,,Q,Miss
716,1,female,38.0,0,0,227.525,C45,C,Miss
590,3,male,35.0,0,0,7.125,,S,Mr
163,3,male,17.0,0,0,8.6625,,S,Mr
336,1,male,29.0,1,0,66.6,C2,S,Mr
59,3,male,11.0,5,2,46.9,,S,Master
730,1,female,29.0,0,0,211.3375,B5,S,Miss
828,3,male,,0,0,7.75,,Q,Mr
490,3,male,,1,0,19.9667,,S,Mr
767,3,female,30.5,0,0,7.75,,Q,Miss
449,1,male,52.0,0,0,30.5,C104,S,Other
624,3,male,21.0,0,0,16.1,,S,Mr
437,2,female,24.0,2,3,18.75,,S,Mrs
641,1,female,24.0,0,0,69.3,B35,C,Other
793,1,male,,0,0,30.6958,,C,Mr
219,2,male,30.0,0,0,10.5,,S,Mr
602,1,male,,0,0,42.4,,S,Mr
282,3,male,16.0,0,0,9.5,,S,Mr
348,3,male,3.0,1,1,15.9,,S,Master
608,2,female,22.0,1,2,41.5792,,C,Mrs
4,3,male,35.0,0,0,8.05,,S,Mr
717,2,female,27.0,0,0,10.5,E101,S,Miss
463,2,male,48.0,0,0,13.0,,S,Mr
689,1,female,15.0,0,1,211.3375,B5,S,Miss
584,3,male,,0,0,8.7125,,C,Mr
781,1,female,17.0,1,0,57.0,B20,S,Mrs
517,3,male,,0,0,24.15,,Q,Mr
794,3,male,25.0,0,0,7.8958,,S,Mr
534,3,female,30.0,0,0,8.6625,,S,Miss
831,2,male,0.83,1,1,18.75,,S,Master
276,3,female,45.0,0,0,7.75,,S,Miss
284,1,male,,0,0,26.0,A19,S,Mr
470,3,male,,0,0,7.25,,S,Mr
426,2,female,28.0,1,0,26.0,,S,Mrs
281,3,male,28.0,0,0,7.8542,,S,Mr
120,2,male,21.0,2,0,73.5,,S,Mr
872,1,male,33.0,0,0,5.0,B51,S,Mr
13,3,male,39.0,1,5,31.275,,S,Mr
582,2,male,54.0,0,0,26.0,,S,Mr
455,3,male,29.0,0,0,7.8958,,C,Mr
856,1,female,45.0,1,1,164.8667,,S,Mrs
160,3,male,44.0,0,1,16.1,,S,Mr
868,3,male,,0,0,9.5,,S,Mr
601,3,male,,0,0,7.8958,,S,Mr
636,3,male,32.0,0,0,7.925,,S,Mr
664,3,male,20.0,1,0,7.925,,S,Mr
195,1,female,58.0,0,0,146.5208,B80,C,Miss
191,2,male,19.0,0,0,13.0,,S,Mr
536,1,male,45.0,0,0,26.55,B38,S,Other
164,3,male,1.0,4,1,39.6875,,S,Master
106,3,female,21.0,0,0,7.65,,S,Miss
16,3,male,2.0,4,1,29.125,,Q,Master
575,3,male,19.0,0,0,14.5,,S,Mr
805,3,male,31.0,0,0,7.775,,S,Mr
540,1,female,36.0,0,2,71.0,B22,S,Miss
329,1,female,16.0,0,1,57.9792,B18,C,Miss
480,3,male,9.0,5,2,46.9,,S,Master
498,1,female,25.0,1,2,151.55,C22,S,Mrs
801,2,female,31.0,1,1,26.25,,S,Mrs
405,2,male,34.0,1,0,21.0,,S,Mr
665,2,male,32.0,2,0,73.5,,S,Mr
93,3,male,26.0,1,2,20.575,,S,Mr
433,3,male,17.0,0,0,7.125,,S,Mr
83,1,male,28.0,0,0,47.1,,S,Mr
749,3,male,31.0,0,0,7.75,,Q,Mr
692,3,male,,0,0,56.4958,,S,Mr
414,3,male,44.0,0,0,7.925,,S,Mr
869,3,male,4.0,1,1,11.1333,,S,Master
651,2,female,18.0,0,1,23.0,,S,Miss
649,3,female,23.0,0,0,7.55,,S,Miss
809,1,female,33.0,1,0,53.1,E8,S,Mrs
322,2,female,30.0,0,0,12.35,,Q,Miss
556,1,female,48.0,1,0,39.6,A16,C,Mrs
357,2,female,38.0,0,0,13.0,,S,Miss
69,3,male,26.0,2,0,8.6625,,S,Mr
514,3,male,24.0,0,0,7.4958,,S,Mr
509,3,male,26.0,0,0,56.4958,,S,Mr
340,2,male,2.0,1,1,26.0,F2,S,Master
221,2,male,27.0,0,0,13.0,,S,Mr
824,3,male,2.0,4,1,39.6875,,S,Master
146,3,male,27.0,0,0,7.7958,,S,Mr
289,3,female,22.0,0,0,7.75,,Q,Miss
29,3,male,,0,0,7.8958,,S,Mr
114,3,female,17.0,0,0,14.4583,,C,Miss
508,3,male,28.0,0,0,22.525,,S,Mr
792,3,female,,8,2,69.55,,S,Miss
863,3,female,,8,2,69.55,,S,Miss
176,3,male,,3,1,25.4667,,S,Master
168,1,male,,0,0,25.925,,S,Mr
347,3,female,,1,0,16.1,,S,Mrs
376,3,female,22.0,0,0,7.25,,S,Miss
679,1,male,36.0,0,1,512.3292,B51,C,Mr
775,3,male,18.0,0,0,7.75,,S,Mr
757,2,male,18.0,0,0,11.5,,S,Mr
685,2,male,25.0,1,2,41.5792,,C,Mr
189,3,male,36.0,0,0,7.8958,,S,Mr
136,1,female,19.0,0,2,26.2833,D47,S,Miss
446,2,female,13.0,0,1,19.5,,S,Miss
746,3,male,16.0,1,1,20.25,,S,Mr
254,3,female,41.0,0,2,20.2125,,S,Mrs
783,3,male,,1,2,23.45,,S,Mr
290,1,female,26.0,0,0,78.85,,S,Miss
834,3,male,18.0,0,0,8.3,,S,Mr
751,3,male,6.0,0,1,12.475,E121,S,Master
232,2,male,59.0,0,0,13.5,,S,Mr
645,1,male,48.0,1,0,76.7292,D33,C,Mr
33,2,male,66.0,0,0,10.5,,S,Mr
88,1,female,23.0,3,2,263.0,C23,S,Miss
44,3,female,19.0,0,0,7.8792,,Q,Miss
341,1,female,24.0,3,2,263.0,C23,S,Miss
61,1,female,38.0,0,0,80.0,B28,,Miss
846,3,male,,8,2,69.55,,S,Mr
199,2,female,24.0,0,0,13.0,,S,Mrs
429,3,male,32.0,0,0,8.05,E10,S,Mr
667,3,male,,0,0,7.775,,S,Mr
394,3,female,24.0,0,2,16.7,G6,S,Mrs
297,1,female,2.0,1,2,151.55,C22,S,Miss
73,3,male,26.0,1,0,14.4542,,C,Mr
393,1,female,23.0,1,0,113.275,D36,C,Miss
547,2,male,,0,0,13.8625,,C,Mr
579,3,male,32.0,0,0,7.925,,S,Mr
541,3,female,9.0,4,2,31.275,,S,Miss
758,3,male,34.0,0,0,8.05,,S,Mr
741,1,male,36.0,1,0,78.85,C46,S,Mr
747,2,female,30.0,0,0,13.0,,S,Miss
663,3,male,36.0,0,0,7.4958,,S,Mr
217,2,male,42.0,1,0,27.0,,S,Mr
539,1,female,22.0,0,2,49.5,B39,C,Miss
736,3,female,48.0,1,3,34.375,,S,Mrs
623,3,male,21.0,0,0,7.8542,,S,Mr
668,3,male,43.0,0,0,8.05,,S,Mr
732,2,male,,0,0,0.0,,S,Mr
421,3,male,21.0,0,0,7.7333,,Q,Mr
138,3,male,16.0,0,0,9.2167,,S,Mr
212,3,male,22.0,0,0,7.25,,S,Mr
616,3,male,34.0,1,1,14.4,,S,Mr
748,1,male,19.0,1,0,53.1,D30,S,Mr
745,1,male,70.0,1,1,71.0,B22,S,Other
770,3,male,24.0,0,0,9.5,,S,Mr
814,3,male,30.5,0,0,8.05,,S,Mr
234,2,male,24.0,0,0,10.5,,S,Mr
67,3,male,19.0,0,0,8.1583,,S,Mr
24,3,female,8.0,3,1,21.075,,S,Miss
381,3,female,1.0,0,2,15.7417,,C,Miss
216,3,female,27.0,0,0,7.925,,S,Miss
129,3,male,45.0,0,0,6.975,,S,Mr
349,3,male,42.0,0,0,8.6625,,S,Mr
111,3,female,14.5,1,0,14.4542,,C,Miss
166,1,female,,0,1,55.0,E33,S,Mrs
207,3,male,26.0,0,0,18.7875,,C,Mr
438,1,male,64.0,1,4,263.0,C23,S,Mr
552,3,male,,0,0,7.8292,,Q,Mr
274,3,female,,0,0,7.75,,Q,Miss
879,1,female,56.0,0,1,83.1583,C50,C,Mrs
591,1,female,52.0,1,0,78.2667,D20,C,Mrs
711,1,male,,0,0,26.55,C124,S,Mr
525,3,male,40.5,0,0,7.75,,Q,Mr
287,3,male,22.0,0,0,7.8958,,S,Mr
469,3,female,0.75,2,1,19.2583,,C,Miss
326,3,male,61.0,0,0,6.2375,,S,Mr
121,3,male,,0,0,8.05,,S,Mr
507,1,male,,0,0,26.55,,S,Mr
228,2,male,18.0,0,0,13.0,,S,Mr
673,2,male,31.0,0,0,13.0,,S,Mr
595,3,male,36.0,1,1,24.15,,S,Mr
445,1,male,4.0,0,2,81.8583,A34,S,Master
117,2,male,29.0,1,0,21.0,,S,Mr
464,3,male,,0,0,8.05,,S,Mr
25,3,female,38.0,1,5,31.3875,,S,Mrs
110,1,male,47.0,0,0,52.0,C110,S,Mr
149,2,male,42.0,0,0,13.0,,S,Other
152,3,male,55.5,0,0,8.05,,S,Mr
528,3,male,39.0,0,0,7.925,,S,Mr
696,3,male,44.0,0,0,8.05,,S,Mr
621,1,male,42.0,1,0,52.5542,D19,S,Mr
461,3,male,34.0,0,0,8.05,,S,Mr
598,3,male,,0,0,7.225,,C,Mr
139,1,male,24.0,0,0,79.2,B86,C,Mr
260,3,male,,0,0,7.75,,Q,Mr
323,2,female,22.0,1,1,29.0,,S,Mrs
865,2,female,42.0,0,0,13.0,,S,Mrs
248,1,male,37.0,1,1,52.5542,D35,S,Mr
450,2,male,36.0,1,2,27.75,,S,Mr
410,3,male,,0,0,7.8958,,S,Mr
607,1,male,27.0,0,0,30.5,,S,Mr
19,3,female,,0,0,7.225,,C,Mrs
328,3,female,31.0,1,1,20.525,,S,Mrs
296,3,male,23.5,0,0,7.2292,,C,Mr
269,1,female,35.0,0,0,135.6333,C99,S,Miss
